,Bank,Date,INF,PR,CDR,CR,LAS,NIA,NIM,OE,RA,ROA,SCTA,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Sense,is_Ukrsibbank,is_Universal
96,Sense,11/2019,-0.1699050949050948,-0.0356800816671496,0.0526950148000745,-0.0205332109924498,0.0619732436111964,1.294555541353782,-0.0237581720343281,0.0843882340812232,0.0145587342906137,-0.1251794166066632,0.2232422960793057,0.0052122776318108,0,0,0,0,0,0,0,1,0,0
97,Ukrsibbank,11/2019,-0.1699050949050948,-0.0356800816671496,-0.0210966442827629,0.003287398967066,0.1487657321696981,0.0136765423661917,-0.0346815069994198,0.0265693997465886,0.0355248977161854,-0.0314830396347881,-0.0208230359277972,0.0012070274616331,0,0,0,0,0,0,0,0,1,0
98,Universal,11/2019,-0.1699050949050948,-0.0356800816671496,-0.0034179022573168,-0.0081437725658347,0.1917591147945997,0.0264542866629929,0.0227332005287418,-0.0390476252725743,-0.0337345360711988,-0.0050503663474939,-0.129974832111339,0.0048878348066644,0,0,0,0,0,0,0,0,0,1
99,Privat_Bank,12/2019,-0.2242755610402669,-0.056540794242633,-0.0098794808347144,0.172144100367058,0.0175581083875509,2.8600590037275126,-0.0032337522401856,0.3828614840364875,0.0477567415491707,0.2190126757096826,0.0399032826112975,0.0014444967166071,0,0,0,0,0,0,1,0,0,0
100,Credit_Agricole,12/2019,-0.2242755610402669,-0.056540794242633,0.0097251158901058,-0.0512989907614169,0.1938840880698857,-0.2109423584230159,0.2401137825918879,0.0410279798974701,0.0574164595556857,0.0110208498568322,-0.0121550874177933,-0.000211722250661,1,0,0,0,0,0,0,0,0,0
101,FUIB,12/2019,-0.2242755610402669,-0.056540794242633,-0.0014455495105247,-0.273404980579973,0.2308806300407412,0.4049848442020007,-0.0588701603395105,0.1797621127021679,0.026112906617608,-0.0164850021099084,0.174757505658565,0.001383783535935,0,1,0,0,0,0,0,0,0,0
102,Kredobank,12/2019,-0.2242755610402669,-0.056540794242633,0.0042877124743946,-0.0437494762669726,0.0477640405328615,1.6438106055674708,-0.0175268611464019,0.0791004602405664,0.0026827765354187,-0.0041431967591928,-0.1011885398642998,0.0026843049269768,0,0,1,0,0,0,0,0,0,0
103,Oschadbank,12/2019,-0.2242755610402669,-0.056540794242633,-0.0487054402148397,-0.1312569768658295,0.010285470911317,1.929659956303316,0.0698684850797119,0.0869637093139254,-0.0144785394413348,1.417130720551711,0.0373199726895909,0.0023949808480002,0,0,0,0,1,0,0,0,0,0
104,OTP,12/2019,-0.2242755610402669,-0.056540794242633,-0.0315897095627184,-0.0603378696570495,0.5360884428018208,0.340879680377577,0.0129702819468018,0.1156499815660517,-0.0008899200023205,0.0146437689886287,-0.0587379321103438,0.0028432151382362,0,0,0,1,0,0,0,0,0,0
105,Pivdennyi,12/2019,-0.2242755610402669,-0.056540794242633,-0.0802947064320512,0.0175156691290312,0.7892029326964884,0.4160625734236585,0.0381964857076279,0.1784421271384469,-0.0127332273413457,0.0595497343406067,0.0378164801302292,0.0024422762196447,0,0,0,0,0,1,0,0,0,0
106,Raiffeisen,12/2019,-0.2242755610402669,-0.056540794242633,-0.0182321300934718,-0.0011108616919352,0.1872500721008664,-0.0151737397665477,-0.0330413224013065,-0.0164176932067835,-0.0054072512541075,-0.0430648298813604,0.0506300547885519,0.0037453198462769,0,0,0,0,0,0,0,0,0,0
107,Sense,12/2019,-0.2242755610402669,-0.056540794242633,0.0354750733204066,-0.0132196124264772,0.254917845270358,1.240287509650987,-0.1329184783055884,0.2824107836564462,0.0409020105360167,0.1094776208555317,0.392354717145951,0.0041396114903523,0,0,0,0,0,0,0,1,0,0
108,Ukrsibbank,12/2019,-0.2242755610402669,-0.056540794242633,-0.0435289284334635,0.0063562829347576,0.6132246792374033,0.3650878595146902,-0.0166995091518909,0.2758630952668202,0.0278389828284998,0.0819391928692672,-0.0135187411866625,0.0010391548572072,0,0,0,0,0,0,0,0,1,0
109,Universal,12/2019,-0.2242755610402669,-0.056540794242633,-0.0193015663440841,-0.0218103336710047,0.2915004473558846,0.1992023439977684,-0.0138470494995646,0.0041478197345963,-0.0706944028306233,0.0214550722444352,0.034709578804934,0.0065162998459906,0,0,0,0,0,0,0,0,0,1
110,Privat_Bank,01/2020,-0.2103250806263717,-0.0620822427771975,-0.0102148587887162,0.0584541755311427,0.0133590476778058,2.729638481996384,0.0192260212009056,0.1672767137457069,0.0548467662113826,0.595340326261743,0.0088411976483289,0.0012032253729741,0,0,0,0,0,0,1,0,0,0
111,Credit_Agricole,01/2020,-0.2103250806263717,-0.0620822427771975,-0.0544542314540084,-0.0474195090005486,0.4021289881370142,0.3371139869206994,0.0865059277140761,0.0462775934200558,0.0269400553874894,-0.0112592222406974,0.0107050725719772,0.0007516025257737,1,0,0,0,0,0,0,0,0,0
